,id,title,episode,title_song_merged,artist_name_artists_merged,year_year_merged
295,300035,top of the pops,(1978-10-26),teenage kicks,john oneill+the undertones,1964.0
296,612450,sheryl crow: rockin the globe live,,everyday is a winding road,sheryl crow+jeffrey trott+brian macleod,2000.0
297,144864,luck,(#1.1),splitting the atom,massive attack,2011.0
298,647678,the banger sisters,,doctor my eyes,jackson browne+ben folds,2002.0
299,174720,open bar,(#1.8),deixa disso,felipe dylon,2010.0
300,71767,divendres,(#7.55),amor particular,lluís llach+miquel abras+rozalén,2009.0
301,50931,country style  u.s.a.,(#3.6),oh lonesome me,don gibson+chet atkins,1957.0
302,297390,tohuwabohu,36/pair/rouge (#6.10),do you wanna dance,bobby freeman+cliff richard,1990.0
303,178058,parenthood,perchance to dream (#1.9),freely,devendra banhart,2010.0
304,379411,buenos aires rock,,solo le pido a dios,león gieco,1983.0
305,295072,tiny toon adventures,music day (#3.14),the nutcracker - march,pyotr ilyich tchaikovsky,1990.0
306,432818,eurotrip,,ca plane pour moi,lou de prijck+yves lacomblez+plastic bertrand,2004.0
307,162249,my mad fat diary,its a wonderful rae: part 1 (#1.5),voodoo people,the prodigy,2013.0
308,725118,winchell,,stardust,hoagy carmichael+mitchell parish+glenn miller+arrangement with warner special products,1998.0
309,365681,better off dead...,,breakin up is hard to do,neil sedaka+howard greenfield,1985.0
310,258682,the o.c.,the pot stirrer (#3.13),favourite friend,diefenbach,2003.0
311,34159,bones,the girl with the curl (#2.7),mona lisa,grant lee phillips,2005.0
312,547797,multiple sarcasms,,me and mrs jones,kenny gamble    / cary gilbert   / leon huff+billy paul,2010.0
313,142047,lost,namaste (#5.9),ride captain ride,blues image,2004.0
